iter	RMSE
0	0.3965130807
1	0.3902205739
2	0.3835573637
3	0.3764559185
4	0.3706840063
5	0.364070336
6	0.3572960301
7	0.3505276331
8	0.3444811843
9	0.338901005
10	0.3338108053
11	0.3286278501
12	0.3235026617
13	0.3177764575
14	0.3123744433
15	0.3080480185
16	0.3026734048
17	0.2973627434
18	0.2921931242
19	0.2877287287
20	0.2837749226
21	0.2799321702
22	0.2759839093
23	0.2718972373
24	0.2686385969
25	0.2653391965
26	0.261612829
27	0.2573805651
28	0.2533666788
29	0.2501422398
30	0.246262369
31	0.2432954247
32	0.2401306898
33	0.2371344289
34	0.2345090018
35	0.2311773677
36	0.2289237277
37	0.2260042602
38	0.2234704595
39	0.2213064093
40	0.2185644929
41	0.216387832
42	0.2136712499
43	0.2109198714
44	0.2087880418
45	0.2067876075
46	0.2046922488
47	0.2029066453
48	0.2005109129
49	0.1984143614
50	0.1962660266
51	0.1942090862
52	0.1924468667
53	0.1909686963
54	0.1890528633
55	0.1872631705
56	0.1856158035
57	0.1840863541
58	0.1824663066
59	0.1810305022
60	0.1798640344
61	0.1786717915
62	0.1771227359
63	0.1755077243
64	0.1743943142
65	0.1731754701
66	0.1716093065
67	0.1703090578
68	0.1694091391
69	0.1680715619
70	0.1670798712
71	0.1660310128
72	0.1648182014
73	0.1638438482
74	0.1628683907
75	0.1618914926
76	0.1609280988
77	0.160103117
78	0.1594148403
79	0.1584516455
80	0.1576622901
81	0.1569498901
82	0.1560535916
83	0.1552526577
84	0.1544922191
85	0.153572744
86	0.1525973843
87	0.15194937
88	0.151219145
89	0.1505330755
90	0.1499796974
91	0.1493662334
92	0.1486717234
93	0.1480724787
94	0.1474706129
95	0.1467724441
96	0.1460864442
97	0.1453710713
98	0.1446595116
99	0.1442833245
100	0.1436418346
101	0.1430103961
102	0.1425750263
103	0.1420658205
104	0.1413869266
105	0.1407237298
106	0.1399845119
107	0.1392850146
108	0.1388002743
109	0.1381958823
110	0.1377200044
111	0.1371717884
112	0.136781945
113	0.1363512327
114	0.1359483512
115	0.1357104094
116	0.1351668137
117	0.1347737518
118	0.1344306304
119	0.1340334297
120	0.1336870841
121	0.1333038277
122	0.1327956791
123	0.1323641326
124	0.1319603981
125	0.1315830813
126	0.1312120278
127	0.1308835298
